occ2,occ.code,occ.title,"Digital Score, 2002","Digital Score, 2016",ScoreChange,Education Requirement,Digital Skill level_2002,Digital Skill level_2016,high02,medium02,low02,high16,medium16,low16,tot_emp2002,tot_emp2010,tot_emp16,a_mean02,a_mean10,a_mean16,a_median02,a_median10,a_median16
21,21_1014,Mental Health Counselors,27.77236911,46.80643747,19.03406836,Advanced Degree,2,1,0,0,1,0,1,0,81030,110300,139820,32800,41360,46050,29940,38150,42840
21,21_1021,"Child, Family, and School Social Workers",53.27939962,51.1412605,-2.138139121,Bachelor Degree,2,2,0,1,0,0,1,0,259990,276100,298840,35640,43850,47510,33150,40210,43250
21,21_1022,Healthcare Social Workers,41.8454016,51.93329343,10.08789183,Advanced Degree,2,2,0,1,0,0,1,0,103180,143080,159310,38920,49200,55510,37380,47230,53760
21,21_1023,Mental Health and Substance Abuse Social Workers,23.770935,54.78581166,31.01487666,Advanced Degree,2,1,0,0,1,0,1,0,91240,119960,114040,34860,41880,47880,32850,38600,42700
21,21_1091,Health Educators,22.69714843,49.73441059,27.03726216,Bachelor Degree,2,1,0,0,1,0,1,0,22739.80817,30580.93998,57570,39190,50270,57900,36240,45830,53070
21,21_1092,Probation Officers and Correctional Treatment Specialists,25.90607038,61.39831141,35.49224104,Bachelor Degree,3,1,0,0,1,1,0,0,78990,89900,87500,41210,51240,55380,38360,47200,50160
21,21_1093,Social and Human Service Assistants,16.45100874,53.87183925,37.42083051,Bachelor Degree,2,1,0,0,1,0,1,0,291410,357500,360650,25040,30100,34120,23370,28200,31810
21,21_2011,Clergy,7.853230718,47.62601777,39.77278705,Advanced Degree,2,1,0,0,1,0,1,0,36450,42820,49320,36080,48290,49450,33110,43970,45740
21,21_2021,"Directors, Religious Activities and Education",17.27603826,56.12118195,38.8451437,Bachelor Degree,2,1,0,0,1,0,1,0,13120,16840,20590,32330,40600,44840,28020,36170,38610
23,23_1011,Lawyers,34.44961841,57.90819925,23.45858085,Advanced Degree,2,2,0,1,0,0,1,0,504370,561350,619530,105890,129440,139880,90290,112760,118160
23,23_1012,Judicial Law Clerks,36.50298945,58.65239835,22.1494089,Advanced Degree,2,2,0,1,0,0,1,0,41760,25150,13410,32070,44060,59840,30460,39780,51760
23,23_1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",26.56678731,55.95794344,29.39115613,Advanced Degree,2,1,0,0,1,0,1,0,16700,14310,14540,68130,89740,95240,64540,85500,92110
23,23_1022,"Arbitrators, Mediators, and Conciliators",26.56678731,38.3245569,11.7577696,Bachelor Degree,2,1,0,0,1,0,1,0,5090,6920,6300,55970,66460,72730,47320,55800,59770
23,23_1023,"Judges, Magistrate Judges, and Magistrates",13.92680086,54.68921157,40.76241071,Advanced Degree,2,1,0,0,1,0,1,0,25100,25900,27210,85210,105390,115460,94070,119270,125880
